"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Cat,Echo,Echo,18,
Dog,Ames,Ames,5,Husky
Dog,Franc,Franc,4,Mastiff cross
Cat,Winnie,Winnie,4,
Cat,Tiggy,,4,
Dog,Oliver Jackson,Oliver/baby/little Man,5,Morkie
Dog,Dolly Doodle Dogger,Dolly,6,Labradoodle
Cat,Ann Perkins,Ann,0.5,Mix
Dog,Cassie,Cassie,5,Mix
Cat,Kisa Marie,Kisa,6,
Dog,Logan,Logan Brogran,2,Rhodesian Ridgeback
Dog,Basil,Basil,7,Lab/German Shepard mix
Dog,Marble,Marble,5,Plott/Coonhound mix
Dog,Hollie,Hollie,14,Westie
Dog,Cash Money,Cashie,2,Labrador Retriever
Dog,Seamus,Shamie Bameee,11,Rhodesian Ridgeback
Cat,William Robert,Billy,3,
Dog,Nash,Nash,2,Labrador Retriever
Cat,Spoons,Spoons,3,Calico
Cat,Arizona,Arizona,7,Domestic Short Hair mix
Dog,Sian Ben Ryan,Sian Or Sisi,14,Westie
Dog,Bear 2,Bear,7.5,Retriever Mix
Cat,Banjo,Banj,3,Orange Tabby
Chinchilla,Fossedini Heraldo Macduff,Fosse,10,
Cat,Princess Melanie,Melanie,5,Domestic Long Hair
Cat,Tiffany Marie,Tiffany,13,Orange Tabby
Dog,Charles Barrath Mcintyre,Barry,6,Basset Hound
Dog,Margeurite Larioux Gonzales,Maggie,6,Chihuahua-Lab
Dog,Rusty,Rusty,2,Fox red lab
Dog,Starfire,Star,15,Maltese poodle
Dog,Nova,Nova,3,Mix
Dog,Dinty,The Dint,5,Terrier mix
Cat,Hamilton,Hammy Bits,3,
Dog,Kadie Jo,Kadie Jo,6,Labrador Retriever
Cat,Incandenza,Ink,3,
Cat,Fitzgerald,Fitz,8,Domestic Short Hair
Cat,Zelda,Zelda,8,Domestic Short Hair
Dog,Daisy Duke,Daisy,4,Siberian Husky mix
Guinea Pig,Stewie,Stewie,2,
Dog,Sunny Sunday Sky,Sunny,15,Beagle
Guinea Pig,Francisco,Cisco,2,
Horse,Dream On Chip,Diva,15,Appaloosa
Dog,Bailey,Bailey,3,Border Collie mix
Horse,Tundra,Tundra,12,Mix
Dog,Bosco Spaghettio,Bosco,9,Border Collie mix
Cat,Agnes Marie,Aggie Turd,2,
Dog,Tansei,Duffus,7,Shiba Inu
Cat,Edith,Eduf Monster,1,
Cat,Mini,Mimi,13,Tuxedo
Cat,Theodore,Ted,4,Persian
Dog,Molly,Molly,16,Golden Retriever
Dog,Duke Dukington,Duka,3,Chihuahua mix
Cat,Oliver Newton,Ollie,4,Maine Coon
Dog,Prince Phillip The 2nd,Phillip Daddy-o,12,West Highland White Terrier
Cat,Starla,Starla,4,Domestic Short Hair
Dog,Petey,Petey Poopoo Head,11,West Highland White Terrier
Dog,President Nixon,Nixy,8,Mix
Dog,Daisy Doodle Fat Kid With Butt Spots,Daisy,4,Hound x
Dog,Benry Of Willowbrook,Benry,8,Golden Retriever
Dog,Qoda,Qoda,2,Golden Retriever
Dog,Ziggy Starsog,Zig,1.5,Hound x
Dog,Samuel Labrador,Sam,13,Labrador
Hamster,Princess Consuela Banana Hammock,Banana,Deceased,
Dog,Bentley Boy,Bentley,13,Shi-tzu/Bichon
Dog,Taco Belle,Taco,Unknown,Taco
Dog,Pluto,Pluto,Deceased,Golden Retriever
Hamster,Scooter Computer,Scooter,2,
Dog,Toby,Toby,6,Beagle mix
Dog,Harlee,Harlee,3,Anatolian Shepherd
Dog,Nessa,Nessa,1,Golden Retriever
Dog,Biscuit Bandit,Bandit,3,Labrador
Cat,Sophie,Fuzzbutt,2,
Dog,The Real Slim Sadie,Sadie,1.5,Golden Retriever
Dog,Quincy Sugarplum,Quincy,3,Golden Retriever
Dog,Skipper Doo,Skip,4,Yorkie
Dog,Sam Ruffalo,Sam,6,Golden Retriever mix
Dog,Brutus Buckeye,Brutus,11,Golden Retriever
Dog,Crespo,Crespo Or Baby 😂,12,shihtzu and mixed
Dog,Rossignol,Rozzie,Deceased,Siberian Husky
Hamster,Peaches,Peaches,3,
Dog,Pepper,Pepper,4,Mix
Dog,Amaya,Maya,6,Siberian Husky
Cat,Eloise,Ellie,10,
Cat,Olive,Ollie,4,
Cat,Kiki Buntain,Kiki,18,Mix
Dog,Tiger,Tiger,12,
Dog,Bonnie,Bonnie,8,Westie
Dog,Abby,Abby,11,Cavalier King Charles Spaniel
Lizard,Gomez,Gomie,10,High yellow leopard gecko
Dog,Cooper,Coop,7,Labrador
Dog,Chase,Chase,3,Husky mix
Hamster,Steve Hammond,Steve,4,Russian Campbell
Dog,Riley Jenkins,Riley,18,Golden Retriever
Dog,Montgomery T Dog,Monty Monkey Monkeyrunk,2,Dalmatian labrador Cross
Dog,Nana Roo,Nana,5,German Shepherd
Cat,Ella Grey,Ella,7,
Dog,Callie,Cal Gal The Golden,3,Golden Retriever
Dog,Rocco Norbert,Rocco,10,Golden Retriever mix
Dog,Jack,Jack,3,Terrier something or other
Dog,Ted,Ted,6,Welsh Terrier
Snake,Desiree,Desiree,11,Rosy boa
Dog,Jaida Lynn,Jaida,12,Black lab / terrier
Snake,Gaia,Gaia,10,Dumeril’s boa
Dog,Daisy Lulu,Daisy,9,Toy Poodle
Cat,Phillip,Phillip,16,Yellow Tabby
Cat,Sunni,Sunni,10,Birman
Cat,Nymeria,Nym,5,DMH
Cat,Scarlett,Scar,8,Unknown
Cat,Ink,Ink,6,DMH
Cat,Drew,Drewbeans,7,
Dog,Titus,Titus,7,Lab
Cat,Midna,Midna,8,Orange Tabby
Dog,Cookie Asparagus,Cookie,11,Chihuahua Jack Russell Terrier
Dog,Tessa Leigh,Tessa,11,Labradoodle
Dog,Ali,Ali,5,Greyhound
Dog,Daisy,Daisy/dandelion,4,Labrador Retriever mix
Dog,Lucky,Luck Luck,5,Lab
Cat,Rex,Rex,7,Maine Coon
Dog,Harper Jean,Harper Jean,1.5,German Shepherd mix
Cat,Maverick,Maverick,2,
Hermit Crab,Rork,Rork,2,
Cat,Tina Fay,Tina,6,
Cat,Sophie,Sophie,4,Orange Tabby
Dog,Max-well,Max,6,Golden Retriever
Dog,Mica,Mica,6,Labrador Retriever mix
Cat,Patches,Patches,10,Tuxedo
Cat,Asch,Asch,4,Orange Tabby
Rat,Yuri,Yuri,1,Rat
Rat,Ravio,Ravio,1,Rat
Dog,Sylvester Balboa,Sly,6,Golden Retriever
Dog,Mia Roo,Mia,11,Australian Shepherd
Hamster,Melody,Melody,1,Winter white
Dog,Casper Tiberus,Casp,4,Mix
Dog,Chummy,Chumbles,5,Labradoodle
Dog,Luna Bean,Luna,7,Italian Greyhound mix
Gerbil,Brown Gerbil,Brown Gerb,2,Gerbil
Cat,Gabby Comacho,Cho Cho,16,Domestic Short Hair
Gerbil,White Gerbil,White Gerb,2,Gerbil
Dog,Sofie Tooter Scooter,Sofie,7,Chihuahua
Dog,Mojo,Mojo,5,Labradoodle
Dog,Grace,Grace,1,Mix
Cat,Misha,Misha,8,Tabby
Dog,Frankie,Frankie,1,Mix
Guinea Pig,Dollar Dollar Bills Y'all,Bill,2,Guinea Pig
Dog,Osa,Osa,9,Akita husky mix
Dog,Dixie,Dixie,12,Pit Bull mix
Cat,Barnabas,Bucky,11,Mix
Dog,Nina,Nina,7,West Highland White Terrier
Cat,Bitsy,Bitsy,15,Domestic Short Hair
Dog,Rachel,Rachel,8,Schnauzer
Dog,Piper,Piper,9,Labrador Retriever
Dog,Bella,Belly,10,Yorkie
Dog,Queen Khaleesi,Queenie,12,Mountain Dog mix
Cat,Pumpkin,Pumpkin,6,
Dog,Bridget,Bridgy Pookie Bridge,15,Mix
Dog,Bodacious,Bodie,14,Labrador Retriever
Dog,Mama Rose,Rosie,7,Pit Bull
Dog,Augustus,Gus,8,Golden Retriever
Cat,Sunshine,Sunshine,7,Tiger Stripe
Dog,Tater,Tater,3,Labrador & great pieraneese
Cat,Millicent,Millie,6,
Hedgehog,Gustavus Ericius Hedgehog Of The North,Gus,1,
Dog,Beverly Ann,Beverlana,13,Golden Retriever
Dog,Cora Smalls,Cora,3,Havanese
Dog,Jasper,Jasper,16,dalmation/beagle
Cat,Dust,Dust,1,
Dog,Caleb,Caliber,1.5,Blue Tick Coon Hound
Dog,Tonka,Tonks Tonkers Sir Tail,8,Newfoundland
Bird,Spike,Spiker-doodle,13,Cockatiel
Cat,Ash,Ashy Boy,9,
Cat,Blossom,Moose,6,British Long Hair
Cat,Violet,Violet,14,Domestic Short Hair
Cat,Thor,Thor,4,
Dog,Hank,Baby,2,Boxer
Dog,Brandy,Puddin,5,Lab/pitbull mix
Cat,Lily,Lillibutt,11,Domestic Short Hair
Dog,Sir Squeaksalot The Second,Twoie,9,Chinese Crested Powder Ouff
Cat,Buddy,Buddy Boi,4,Domestic Short Hair
Dog,Colby Jack,Jack,5,German Shepherd
Dog,Cooper,Coop,6,Labradoodle
Dog,Murphy,Murph,1,Goldendoodle
Dog,Phineas,,7,irish soft-coated wheaten terrier
Dog,Peach,Peach,2,Mix
Dog,Moose Alexander,Moose,8,Maltipoo
Cat,Eliza Goose,Eliza,2,Grey
Guinea Pig,Nibbles,Nibsey,5,Domestic Short Hair
Cat,Chichi,Chichi,9,Tabby
Cat,Isabella,Izzy,4,
Dog,Ruby,Ruebs,6,Rhodesian Ridgeback
Dog,Ruby,Ruby,4,Labrador Retriever
Dog,Min Ottende Bold,Otte,9,Labrador Retriever
Dog,Min Fine Nimina Beana,Mina,6,Yellow Labrador
Dog,Lucy,Lu,3,Great Pyrenees
Cat,Belvedere,Biff,16,shorthair mackerel tabby
Cat,Heaven,Kitty,8,Tortoise
Dog,Lucy Lou,Luey,4,Basset Hound
Dog,Katniss Underfoot,Katniss,9,Pit bull ish
Dog,Sadie,Sayd,13,Border Collie
Dog,Coco  Chanel Mademoiselle,Coco,5,Golden Retriever
Dog,Maggie,Mags,8,Border Collie
Dog,Gunner Baker,Gunner,12,Lab
Rabbit,Lady Sybil,Lady,1,Holland Lop
Cat,Ashley Williams,Ash,8,Maine Coon
Dog,April In Paris,Paris,6,Golden Retriever
Rabbit,Colby,,3,
Cat,Mister,Mister,2,American Short Hair
Cat,Goku,Tutu,2,
Fish,Miles,Miles,5,Goldfish
Cat,Fuzzball,Fuzzybutt,10,American Short Hair
Dog,Felix,Felix,2,
Cat,Benjamin,Ben,14,
Dog,Woodruff,Woody,10,Saint Bernard/Cocker Spaniel
Cat,Tibby,Tib Or Monster,3,Unknown
Dog,Kitty Take Your Gloves Off,Reba,8,Golden Retriever
Cat,Honey,Honey,7,Tabby
Dog,Mulligan,Mull,12,Golden Retriever
Dog,Loki,Loki Aka Goof Ball,8,Golden Retriever
Dog,Okemo,Okemo,8,Australian Cattle Dog
Dog,Beau,Beau,1,Golden Retriever mix
Cat,Lucy,Lucy,6,
Dog,Zack Attack,Zack,10,Golden Retriever
Dog,Kendall,Kendall,4,Hound lab mix
Dog,Bailey,Bailey,1,Lab/pointer
Dog,Ranger,Ranger,11,German Shepherd mix
Dog,Dan,Dan,12,Basenji mix
Dog,Sir Maximillion Of Binghamton,Max,10,Golden Retriever
Dog,Freya,Freya,3,Pointer/sharpei
Dog,Jackson,Jax,14,Golden Retriever mix
Dog,Kurama,Kdog,3,
Dog,Luchik,Luchik Or Luci,5,White German Shepherd-Husky
Dog,Pippi Hyde,Pippi,11,Cocker Spaniel
Cat,Scarlett,Purrincess Kitty,13,Domestic Short Hair
Dog,Pearly,Pearl,5.5,Husky mix
Cat,Sebastian,Monkey,12,Domestic Short Hair
Dog,Walter,Walty,6,Spaniel Mix
Cat,Reeses Pieces,Reesie,2,Domestic Short Hair
Dog,Buddy Of Bailey's Irish Cream,Buddy,11,Labrador Retriever
Dog,Belle,Belle,15,Golden Retriever
Cat,Sushi Roll,Sushi,1.5,American Bobtail
Dog,Zoe Marie,Zoe,6,German Shepherd mix
Dog,Wilson,Wilson,4,Labrador Retriever mix
Cat,Mochi,Mochi,1.5,American Bobtail
Dog,Reesie,Reesie,14,Yorkshire Terrier
Cat,Sasuke,Sasuke,6,Mix
Cat,Sasuke,Sasuke,6,Mix
Dog,Bocephus Ray,Bo,6,German Shepherd mix
Dog,Gunner,Gunny,5,Labrador Retriever
Dog,Stella,Stella,12,Daschund mix
Dog,Bailey's Irish Cream,Bailey,13,Black Golden Retriever (GR/choc lab)
Cat,Abigail,Abby,8,Siamese
Dog,Poppy,Pops,16,Jack Russell Terrier
Dog,Nina,Beans,12,Flat Coated Retriever
Cat,Boris,Boris,3,Spinx
Cat,Smoochey,Moo Moo Cow/ Moochey,18,Domestic Short Hair
Cat,Toast Malone,Toast,5,
Cat,Hex,Hex,8,
Cat,Smudge Of Grey,Smudge,7,
Dog,Charlotte,Char,4,Beagle mix
Dog,Ms. Cuddles,Cuddles,13.75,Chiffon (Shih Tzu/Brussels Griffon)
Dog,Wayne Rooney,Roo,13,Border Collie
Dog,Snack,Snack,2,Rottweiler/cocker spaniel mix
Cat,Skipper,Skips,16,
Cat,Nacho Bell Grande,Bean Nacho,1,Yes
Dog,Hazel,Zelly Zz Hayzelly,3,Golden Retriever
Dog,Luna Calamity Barnes,Luna,9,Mix
Dog,Hiro Barnes,Hiro,5,Mix
Dog,Ramsey,Ramsey,4,Labrador
Dog,Stella Diane,Stella,6,Havanese type mix
Dog,Trigger,Trig,4,Labrador Retriever
Cat,Noodle,Noodle,3,Calico mix
Dog,Héloïse,Héloïse,9,Papillon mix
Dog,Scout Mcgee,Scout,12,Spitz
Dog,Milo,Milo,2,Golden Retriever
Dog,Kolbie,Kolbie,10,Beagle
Dog,Rhyannon's Princess Nikita,Nikki,10.5,Siberian Husky
Cat,Scram,Scrammies,2,Domestic Medium Hair
Cat,Darwin,Cat,7,
Cat,Leo,Leo,16,
Cat,Kanga,Kanga,4,Calico mix
Rabbit,Winona,Winnie,2,
Cat,Bugaloo Bonzai,Bug,7,
Dog,Malcolm P. Dog,Malcolm,17,Mix/mutt/disaster
Dog,Maxwell T. Bone,Max Alias: Browndog,11,Labrador Retriever
Cat,Patches,Patch,8,
Dog,Indy,Indy,8,Poodle/beagle
Dog,Cody Fluffball,Cody,11,Golden Retriever
Dog,Fudge,Fudgie,6,Pug/beagle mix
Dog,Mia,Mia,13,Golden Retriever
Cat,Louie,Louie,4,
Cat,Mitzi Junebug Kandinsky,Mitzi,8,
Dog,Megan Gabriela Ortega,Moo,11,Boxer
Cat,Bernie,Bernie Bernard If Naughty,2,Domestic Long Hair
Dog,Bel,Bel,7,Cocker Spaniel
Dog,Artie,Artie Party,14,Golden Retriever
Dog,Snickers,Snickers,9,beagle/german shepherd mix
Cat,Hazel,Hazel,4,Domestic Short Hair
Dog,Blue,Blue,7,Blue heeler mix
Dog,Wally,Wawa,2,Golden Retriever mix
Dog,Copper,Copper,10,Chihuahua mix
Cat,Harold,Harry,6,Cat
Lizard,Birdie,Baby Liz,7,
Cat,Sir Jonathan Pooh Cat,Jonathan,10,Persian
Dog,Juliet,Jules,2,Pit Bull
Cat,Scout,Scout,9,Tabby
Dog,Dasher,Dash,8,Spanador
Dog,Grace,Gracie,5,Labrador Retriever
Dog,Ruby,Ruby,12,Mix
Bird,Nugget,Nugget,2,Ringneck Dove
Dog,Levi,Lee,6,Australian Shepherd
Dog,Elle Loki Bean,Bellie,1,Boxer mix
Dog,Dorthea Dix,Doge,5,Golden Retriever
Dog,Layla Bo Peep,Layla,4,Pug mix
Dog,Rocky,Rocky,12,Beagle mutt
Dog,Tillith,Tilly/tillbear,8,Hound mix
Dog,Rollo,Rollo,3.5,Labrador Retriever
Dog,Nisku,Nisku,2,G-shep mix
Cat,Cat,Cat,8,Domestic Long Hair
Cat,Peaches,Peaches,5,Persian
Dog,Sadie Jo,Sadie Or Tato,5,Labrador Retriever
Dog,Lady,Lady,9,Bernese Mountain Dog
Dog,Sammy Q,Sam,10,Golden Retriever mix
Cat,Cookie,Cookaroo,9,Siamese Mix
Cat,Pepper,Bebs,4,Tabby Mix
Cat,Ipod,Ipod,12,
Cat,Hank The Cowcat,Hank,12,
Dog,Oliver Phish,Oliver,2,Pit Bull mix
Dog,Cleopatra,Cleo,6,Italian mastiff
Dog,Birdie,Birdir,1,Labradoodle
Dog,Murphy,Murph,7,Golden Retriever
Dog,Ryder,Ryder,14,Yellow lab mix
Dog,Talani Snowmageddon,Milo,4,Golden Retriever
Dog,Winnie The Blue,Winnie,11,Pit Bull
Dog,Scarlett,Scarlett,3,Cavalier King Charles Spaniel
Dog,Gus,Gus,11,Golden Retriever
Dog,Dixie Marie,Dixie,8,St. Bernard
Dog,Heidi,Heidi,2,St. Bernard
Dog,Phin,Phin,2,St. Bernard
Dog,Jager,Jager,12,Labrador Retriever
Dog,Brown Bear,Bear,7,
Dog,Lucy,Lucy,4,Golden Retriever
Dog,Kahlua,Chicky-chix,10,Mix
Cat,Epinephrine,Epi,9,Mix
Dog,Baylei,Stinky,1,Silver lab
Dog,Baylei,Stinky,1,Silver lab
Cat,That Cat,T.C.,9,Mix
Dog,Rocky,Rocky,5,Pit Bull mix
Bird,Buddy Ryan,Buddy,12,
Dog,Abigail,Abby,4,Pit Bull
Dog,Kira,Kira/squishy,15,Beagle
Dog,Sammy,Sam,6,Golden Retriever mix
Dog,Piper Marie,Piper,4,Newfoundland mix
Dog,Charlene,Charlie,12,Labrador Retriever mix
Dog,Thor Mighty God Of Thunder,Thor,9,Dachshund mix
Dog,Cody Anne,Cody,2,Golden Retriever
Cat,Caesar,Jeff-jeff,9,Unknown
Dog,Tessa,Tessa,11,German Shepherd mix
Cat,Theia,Kitty Booger Butt Fluffybutt,11,Domestic Long Hair
Cat,Minerva Mcgonagall,Minna,5,Tabby
Dog,Lily,Lily,10,Shepherd chow mix
Dog,Butters,Butters,9,Shepherd mix
Dog,Marigold,Marigold,8,Heinz 57 mutt
Dog,Prince Romeo,Romey,8,Miniature Pinscher
Cat,Teacher’s Pet,Teeps,2,
Cat,Wimpy,Wimpy,2,
Cat,Lucy,Lucy,2,
Dog,Snickers The First Head Woofer,Snickers,6,Yorkie Poo
Dog,Lucky,Lucky,3,Lab/blue heeler/mixed breed
Dog,Ares,Ares,8,Old English sheepdog
Cat,Skylar,Sweet Boii My Beautiful Baby Boy,3,
Dog,Maximillian,Max,13,Golden Retriever
Dog,Rogue,Rogue,6,Border Collie mix
Cat,Sweety,Sweety,Unknown,Domestic Long Hair
Cat,Benny,Ben,4,Domestic Short Hair
Dog,Ace,,1,American Hairless Terrier
Dog,Ava,,4,American Hairless Terrier
Dog,Winnifred,Winnie,6,Shih Tzu mix
Dog,Mika,Mika,8,Pit Bull mix
Dog,Charlie Elizabeth Begonias,Charlie,5,Labradoodle
Dog,Jack Ass,Jack Jackie,5,Border Collie mix
Cat,Bean,Cat,7,
Cat,Skipps,Skipper,1,
Cat,Carly Q Cat,Carl,5,
Dog,Dan,Digger,13,Pug
Dog,Koko,Koko,4,French Bulldog
Dog,Archibald,Archie,2,Golden Retriever
Dog,Sassie,Sassie,19,Poodle
Dog,Zoe,Zoe,12,Shih Tzu mix
Dog,Bo Bo,Bobes,10,Mix
Cat,Sofi,Sofi May Bofi,2,Calico
Dog,Isiah Thomas,Izzy,3,Maine Coon
Dog,Sir Pete The Pup,Pete,12,Chihuahua
Dog,Roux Stir,Roux,8,Catahoula mix
Dog,Lucy Scramble,Lucy,5,Boxer
Dog,June Bug,June Bug,10,Shepherd mix
Dog,Crinkle,Crink-a-dink,7,Rhodesian Ridgeback
Other,George,George,Unknown,Metamorphic
Dog,Smokey,Spooky,14,Mix
Dog,Daisy Mae,Daisy,3,Labrador Retriever mix
Dog,Crimson,Crimson,9,Beagle & Lab/German Shepherd mix
Dog,Tide,Tide Dog,9,Beagle & Lab/German Shepherd mix
Card Board Poster,Kendall Jenner,Ken,23,Human
Dog,Sophie,Sophie,10,Lab & Jack Russell Mix
Dog,Sir Nigel Petrie Of The Poofybottom Clan,Nigel,12,Pomeranian/terrier mix
Dog,Tobi,Bobo Tib Tob Tibbi Bibbi Corn Chip,10,Newfoundland mix
Dog,Bruin,Bru,7,Golden Retriever
Dog,Lucinda Jean,Lucy,1,Golden Retriever
Dog,Dave,Dave,4.5,Golden Retriever
Dog,Harper Valley,Harper,3,Dachshund
Cat,Calleigh Marie,Calleigh,14,Orange Tabby
Dog,Buster Brown,Buster,11,"Mutt (boxer, pug, beagle, Boston terrier mix possibly)"
Fish,Øptifish,Øptifish,2,Orange
Dog,Leila,Leila!!,5,Pointer
Dog,Trixie,Trixie Treat,3,Golden Retriever
Dog,Archer,Archibald,9,Labrador Retriever mix
Dog,Josie Pancakes Fluffybottom,Josie,8,Mix
Cat,Tiger Jack,Jack,6.75,Tabby
Cat,William Orange,Willie,6.75,Tabby
Dog,Zeus,Zu,1,Great Dane
Dog,Shooter,Shooter,8,Blue Heeler
Dog,Ellie,Ellie,8,Labrador Retriever
Dog,Macie,Mace,8,Golden Retriever
Dog,Maddie,Bubbis,17,Shih Tzu
Cat,Motown,Mo,8,Domestic Long Hair
Fish,Spot,Spot,6,Beta Fish
Dog,Squirt,Squirt,7,Bulldog
Dog,Samantha Marie,Sammie,8,Mix
Dog,Quincy,Quincy,5,Chow mix
Dog,Cajun,Cajun,6,Golden lab mix
Dog,Duke,Dukie Doo,3,Pit Bull
Dog,Daisy,Daisy Dee,3,Pit Bull
Dog,Nico,Nico,4,Pug/Boston Terrier Mix
Dog,Chance Mccoy,Chance,10,Golden Retriever
Dog,Kobi,Kobi,11,Pit Bull mix
Dog,Maila,Maila Moose,1,South African Mastiff
Horse,Domino,Dommi,6,Paint
Dog,Phineas,Phin,3,Lab
Dog,Cody,Vody,20,Labrador Retriever
Dog,Perry,Perry,3,Lab
Bird,Gregory Peck,Greggie,2,Bantam Cochin
Dog,Call It A Night Sir Dudley,Dudley,5,Golden Retriever
Dog,Madison Brooke,Maddy,7,Foxhound mix
Cat,Pandors,Pandora,10,Unknown
Dog,Like Francis,Luke,8,Treeing Walker Coon Hound
Cat,Bo Bo,Bo,4,
Cat,Zooey,Zooey,8,
Cat,Mollie,Mollie,2,Cat
Cat,Jj,Jj,6,
Cat,Jenson Button. Last Name Pronounced Boo Tawn,Boo Bear Jb Or Button Pronounced Boo Tawn,8,Mix
Dog,Pilikia,Pili,14,Chihuahua
Dog,Mia Pieper,Mia,3,Black lab/ greyhound mix
Cat,Nova Blake,Nova,1,Tabby
Dog,Pepper Potts,Pepper,6,Golden Retriever
Dog,Scruffy,Scruffy,Deceased,Mix
Cat,Nikolai Maranov,Mr. M,12,Maine Coon
Cat,Django,Django,16,Tuxedo
Dog,Princess Jessi,Jessi,7,
Dog,Mowgli,,1,Lab
Dog,Luna,,2,Lab
Dog,Wille,Willie,8,
Dog,Otto,Otto,1.5,Doberman/Basset Hound
Cat,Momma Martha,Martha,5,Orange Tabby
Dog,Optimus,Opti,7,Maltese
Dog,Memphis Mumford,Memphis,2,Cane Corso Mastiff
Cat,Antoine,Toine,8,Tabby
Dog,Louie,Louie,6,Lab/bloodhound mix
Cat,Hunter Pounce,Caracat,8,Calico
Dog,Anna,Anna,5,
Dog,Chester,Chester,13,Nova Scotia Duck Toller
Dog,Zeus Theodore,Zeus,7,Schnoodle (schnauzer/poodle)
Dog,Ripley,Ripley,13,Golden Retriever
Dog,Beau,Beau,4,Goldendoodle
Dog,Lucy,Lucy,9,Golden Retriever
Dog,Penelope,Penny,3,Maltese
Dog,Callie,Cal,4,Golden Retriever
Dog,Jake,Jakey Poo Poo Head,2,Goldendoodle
Dog,Willie,Willie,2.5,Labrador Retriever mix
Dog,Package,Package,1,Dalmatian mix
Cat,Algernon,Algy Gu,11,
Cat,Pickles!,Pickles Or Pumpkin Or Cutie Pie Or Little Darlin,3,Tortoise
Cat,Jiblit,Tiny Jib,1,
Dog,Luna,Luna,5,Yorkie
Dog,Delilah,Lila,4,Lab
Cat,Celie,Celie,7,Tabby
Cat,Sophie,Sophie,7,Tabby
Cat,Oliver Wendell Holmes,Oliver,9,
Dog,Josephine,Josie,4,Border Collie mix
Dog,Russell D.,Rusty,9,Mix
Dog,Excalibur Insubordinate O’mallie Ix,Cali,2,Golden Retriever
Dog,Darth Vada Mae,Vada,7,Border Collie mix
Cat,Felix,Felix,12,Domestic Short Hair
Dog,Butterscotch,Butters,9,Mix
Dog,Emma Jean Jelly Bean,Emma,13,Shih Tzu
Cat,Binky,Binky,2,Domestic Short Hair
Cat,Sox,Sox,10,Domestic Short Hair
Dog,Rigby,Rigs,6,Boston terrier
Dog,Sir Scribbles Of The Shire,Scribbles,5,Shih tzu/corgi
Cat,Herbert Fitzgerald,Bertie,3,Ragdoll
Cat,Gary,Gary,3,Tabby
Cat,Cassandra,Cassie,7,Siamese Mix
Cat,Moose,Moose,2,Calico
Dog,Tele,Tele,11,Lab
Dog,Maggie,Pooper,14,Dachshund
Cat,Daniel,Daniel,16,Oriental Shorthair
Cat,Kitty,Kitty,16,Orange Tabby
Dog,Daisy Mae,Daisy,11,Golden Retriever
Dog,Bug,Bug,6,Jack Russel mix
Dog,Rayven,Ray,6,German Shepherd
Dog,Puppy Girl,Puppy,4,Jack russel
Dog,Beyoncé,Beyoncé,2,Chihuahua
Dog,Pippa Mad,Pippa,2,Havanese
Dog,Tails Balboa,Tails,14,Chihuahua
Dog,Tara Balboa,Tara,6,Chihuahua
Dog,Mia,Mimi,1,Chihuahua
Dog,Slainte,Slainte,12,Chihuahua mix
Cat,Persephone,Persnuffy,11,
Cat,Piper,Pipes,1,
Cat,Belle,Tiny Kitten,12,
Cat,Nyx,Nyxapooski,8,
Dog,Clyde Frog The Dog,Clyde,3.75,Yellow Labrador
Cat,Baby Tiger,Tiger Bub,11,
Cat,Havoc,Bb,2,
Dog,Asher,Ashie,9,Golden Retriever
Dog,Miley,Miley,13.5,Mix
Cat,Tux,Monsieur Tux,2,
Horse,Paisley Desert Melody,Melody,7,Mustang (horse)
Dog,Suzie,Suzie,5,Labrador Retriever
Dog,Joshua,Joshie,9,Golden Retriever
Dog,Kona Kai,Kona,2,"Mutt: half terrific, half amazing (most likely golden retriever/German Shepherd"
Cat,Simba,Simba,6,Orange Tabby
Dog,Charlie,Charlie,11,Boston Terrier mix
Turtle,Lucky,Lucky,Unknown,Desert tortoise
Cat,Duncan,Duncan,5.5,Unknown
Dog,Lucky,Lucky,4,Labrador Retriever
Dog,Lily Ann,Lily,3,Golden Retriever
Dog,Robbie,Robbie,10,West Highland White Terrier
Dog,Chance,Chance,4,Labrador Retriever
Cat,Mir Hector,Mir,11.5,Domestic Short Hair
Cat,Clover,Clo,3,
Cat,Lacerta Grace,Laci,11,Domestic Short Hair
Dog,Mcgregor,Gregs,11,Scottish Terrier
Cat,Mosephus,Mo,4,
Dog,Maggie,Mags Maggals,6,Corgi
Dog,Boo Radley Beauregard,Boo,5,Hound mix
Cat,Pictor James,Pictor,8,Lynx point Siamese
Cat,Yellowie,Old Man,19,
Cat,Sylvio,Syl,14,
Dog,Jean Louise,Scout,2.5,Golden Retriever
Cat,Cooper Kent Degroat,Cooper/tooper,1,Tuxedo
Dog,Java Joe,Joe,7,Corgi
Dog,Heidi Hoho,Heidi,7,Rescue
Dog,Finlay Heisenberg,Finn,8,Shetland Sheepdog
Cat,Porkchop,Porkie,4,Rescue
Dog,Nala Belle,Nala,11,Golden Retriever
Cat,Lila,Lielee,10,Domestic Long Hair
Dog,Matelin Paco Junior,Mate,9,Australian Shepherd
Cat,Applesauce,Apple,2,Rescue
Dog,Eddie,Eddie,8,Chihuahua
